battery_soc,memory_usage,t_s,T_s1,T_s2,T_d1,T_d2
0.54,0.65,0,0.4965853037914095,0.558680451427168,0.35,0.1353352832366127
0.54,0.65,1,0.8187307530779818,0.558680451427168,0.35,0.36787944117144233
0.54,0.7000000000000001,0,0.4965853037914095,0.581693103998804,0.30000000000000004,0.1353352832366127
0.54,0.7000000000000001,1,0.8187307530779818,0.581693103998804,0.30000000000000004,0.36787944117144233
0.54,0.75,0,0.4965853037914095,0.602734586061814,0.25,0.1353352832366127
0.54,0.75,1,0.8187307530779818,0.602734586061814,0.25,0.36787944117144233
0.54,0.8,0,0.4965853037914095,0.6220072223352616,0.19999999999999996,0.1353352832366127
0.54,0.8,1,0.8187307530779818,0.6220072223352616,0.19999999999999996,0.36787944117144233
0.54,0.8500000000000001,0,0.4965853037914095,0.6396938333803059,0.15000000000000002,0.1353352832366127
0.54,0.8500000000000001,1,0.8187307530779818,0.6396938333803059,0.15000000000000002,0.36787944117144233
0.54,0.9,0,0.4965853037914095,0.6559582607547387,0.09999999999999998,0.1353352832366127
0.54,0.9,1,0.8187307530779818,0.6559582607547387,0.09999999999999998,0.36787944117144233
0.54,0.9500000000000001,0,0.4965853037914095,0.6709465372628175,0.050000000000000044,0.1353352832366127
0.54,0.9500000000000001,1,0.8187307530779818,0.6709465372628175,0.050000000000000044,0.36787944117144233
0.54,1.0,0,0.4965853037914095,0.684788374519127,0.0,0.1353352832366127
0.54,1.0,1,0.8187307530779818,0.684788374519127,0.0,0.36787944117144233
0.56,0.0,0,0.4965853037914095,0.0,1.0,0.1353352832366127
0.56,0.0,1,0.8187307530779818,0.0,1.0,0.36787944117144233
0.56,0.05,0,0.4965853037914095,0.056690725026202114,0.95,0.1353352832366127
0.56,0.05,1,0.8187307530779818,0.056690725026202114,0.95,0.36787944117144233
0.56,0.1,0,0.4965853037914095,0.11249635172664241,0.9,0.1353352832366127
0.56,0.1,1,0.8187307530779818,0.11249635172664241,0.9,0.36787944117144233
0.56,0.15000000000000002,0,0.4965853037914095,0.16661199032417762,0.85,0.1353352832366127
0.56,0.15000000000000002,1,0.8187307530779818,0.16661199032417762,0.85,0.36787944117144233
0.56,0.2,0,0.4965853037914095,0.21837582286725898,0.8,0.1353352832366127
0.56,0.2,1,0.8187307530779818,0.21837582286725898,0.8,0.36787944117144233
0.56,0.25,0,0.4965853037914095,0.2673038827779081,0.75,0.1353352832366127
0.56,0.25,1,0.8187307530779818,0.2673038827779081,0.75,0.36787944117144233
0.56,0.30000000000000004,0,0.4965853037914095,0.31309544566621306,0.7,0.1353352832366127
0.56,0.30000000000000004,1,0.8187307530779818,0.31309544566621306,0.7,0.36787944117144233
0.56,0.35000000000000003,0,0.4965853037914095,0.35561536897870544,0.65,0.1353352832366127
0.56,0.35000000000000003,1,0.8187307530779818,0.35561536897870544,0.65,0.36787944117144233
0.56,0.4,0,0.4965853037914095,0.3948630865774932,0.6,0.1353352832366127
0.56,0.4,1,0.8187307530779818,0.3948630865774932,0.6,0.36787944117144233
0.56,0.45,0,0.4965853037914095,0.43093737889219275,0.55,0.1353352832366127
0.56,0.45,1,0.8187307530779818,0.43093737889219275,0.55,0.36787944117144233
0.56,0.5,0,0.4965853037914095,0.4640033300433097,0.5,0.1353352832366127
0.56,0.5,1,0.8187307530779818,0.4640033300433097,0.5,0.36787944117144233
0.56,0.55,0,0.4965853037914095,0.4942648418915018,0.44999999999999996,0.1353352832366127
0.56,0.55,1,0.8187307530779818,0.4942648418915018,0.44999999999999996,0.36787944117144233
0.56,0.6000000000000001,0,0.4965853037914095,0.521943711232022,0.4,0.1353352832366127
0.56,0.6000000000000001,1,0.8187307530779818,0.521943711232022,0.4,0.36787944117144233
0.56,0.65,0,0.4965853037914095,0.5472648492902132,0.35,0.1353352832366127
0.56,0.65,1,0.8187307530779818,0.5472648492902132,0.35,0.36787944117144233
0.56,0.7000000000000001,0,0.4965853037914095,0.5704465749545545,0.30000000000000004,0.1353352832366127
0.56,0.7000000000000001,1,0.8187307530779818,0.5704465749545545,0.30000000000000004,0.36787944117144233
0.56,0.75,0,0.4965853037914095,0.5916947671904009,0.25,0.1353352832366127
0.56,0.75,1,0.8187307530779818,0.5916947671904009,0.25,0.36787944117144233
0.56,0.8,0,0.4965853037914095,0.6111997755715705,0.19999999999999996,0.1353352832366127
0.56,0.8,1,0.8187307530779818,0.6111997755715705,0.19999999999999996,0.36787944117144233
0.56,0.8500000000000001,0,0.4965853037914095,0.6291351995952174,0.15000000000000002,0.1353352832366127
0.56,0.8500000000000001,1,0.8187307530779818,0.6291351995952174,0.15000000000000002,0.36787944117144233
0.56,0.9,0,0.4965853037914095,0.6456578688683811,0.09999999999999998,0.1353352832366127
0.56,0.9,1,0.8187307530779818,0.6456578688683811,0.09999999999999998,0.36787944117144233
0.56,0.9500000000000001,0,0.4965853037914095,0.6609085480124974,0.050000000000000044,0.1353352832366127
0.56,0.9500000000000001,1,0.8187307530779818,0.6609085480124974,0.050000000000000044,0.36787944117144233
0.56,1.0,0,0.4965853037914095,0.6750130407050337,0.0,0.1353352832366127
0.56,1.0,1,0.8187307530779818,0.6750130407050337,0.0,0.36787944117144233
0.5800000000000001,0.0,0,0.4965853037914095,0.0,1.0,0.1353352832366127
0.5800000000000001,0.0,1,0.8187307530779818,0.0,1.0,0.36787944117144233
0.5800000000000001,0.05,0,0.4965853037914095,0.054745666084989035,0.95,0.1353352832366127
0.5800000000000001,0.05,1,0.8187307530779818,0.054745666084989035,0.95,0.36787944117144233
0.5800000000000001,0.1,0,0.4965853037914095,0.1086934114645254,0.9,0.1353352832366127
0.5800000000000001,0.1,1,0.8187307530779818,0.1086934114645254,0.9,0.36787944117144233
0.5800000000000001,0.15000000000000002,0,0.4965853037914095,0.16111296407280626,0.85,0.1353352832366127
0.5800000000000001,0.15000000000000002,1,0.8187307530779818,0.16111296407280626,0.85,0.36787944117144233
0.5800000000000001,0.2,0,0.4965853037914095,0.21139562263965203,0.8,0.1353352832366127
0.5800000000000001,0.2,1,0.8187307530779818,0.21139562263965203,0.8,0.36787944117144233
0.5800000000000001,0.25,0,0.4965853037914095,0.25908564874172296,0.75,0.1353352832366127
0.5800000000000001,0.25,1,0.8187307530779818,0.25908564874172296,0.75,0.36787944117144233
0.5800000000000001,0.30000000000000004,0,0.4965853037914095,0.3038875086674431,0.7,0.1353352832366127
0.5800000000000001,0.30000000000000004,1,0.8187307530779818,0.3038875086674431,0.7,0.36787944117144233
0.5800000000000001,0.35000000000000003,0,0.4965853037914095,0.3456534314282793,0.65,0.1353352832366127
